Area & Type,Location,Rent,Security Deposit,Description,Locality
1 BHK Independent Floor ,Sector 31,"16,000",No Deposit,,"Sector 31 is a residential neighbourhood located along Delhi - Gurgaon Expressway or NH 8 . It is surrounded by areas including Jal Vayu Vihar , Sector 32 , Sector 39 , Sector 40 and Saini Pura...."
1 BHK Independent House ,Sector 4,"13,000",No Deposit,,
2 BHK Independent House ,Sector 47,"22,000",No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
1 BHK Independent Floor ,Sector 46,"18,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
3 BHK Independent Floor ,Sector 30,"35,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
1 RK Studio Apartment ,Sector 14,"16,000",No Deposit,,"Sector 14 in Gurgaon is surrounded by Anamika Enclave , DLF Colony and Rajiv Nagar . The sector borders Sectors 12, 15 and 17. Connectivity The Delhi Road is the most important road that passes by..."
2 BHK Apartment ,Sector 69,"15,000",No Deposit,,Sector 69 is a prime residential area located in Golf Course Extension Road .Situated off the main road it is a serene neighbourhood with a sprawling park and availability of all kinds of basic...
2 BHK Apartment ,Sector 102,"11,500",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
1 BHK Independent Floor ,Sector 46,"12,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
1 BHK Apartment ,Sushant LOK I,"22,000",No Deposit,,"This is one of the most upscale locations of Gurgaon . Developed under the banner of Ansals, it cuts through three sectors - Sector 27 , 28, and 43. Connectivity Mehrauli- Gurgaon Road offers easy..."
1 RK Studio Apartment ,Sector 24,"13,000",No Deposit,,
1 BHK Apartment ,Sector 36A,"19,000",No Deposit,,
3 BHK Independent House ,Sector 105,"14,000",No Deposit,,
1 RK Studio Apartment ,Sector 24,"15,000",No Deposit,,
4 BHK Apartment ,Sector 24,"60,000",No Deposit,,
1 RK Studio Apartment ,Sector 24,"8,500",No Deposit,,
1 BHK Independent Floor ,PALAM VIHAR,"16,000",No Deposit,,
1 RK Studio Apartment ,Sector 9,"10,000",No Deposit,,
3 BHK Independent Floor ,Sector 45,"55,000",No Deposit,,"Sector 45 is a suburb of Gurgaon , located near NH 8 or Delhi - Gurgaon Expressway. It is surrounded by areas including Sector 46 , Sector 31 , Sector 39 , Sector 41 and Bindapur. Connectivity Delhi..."
1 BHK Apartment ,Sector 24,"26,000",No Deposit,,
3 BHK Apartment ,Sector 52,"50,000",No Deposit,,"Sector 52 is a neighbourhood in Gurgaon , located close to DLF Golf Course Road . The area is surrounded by neighbourhoods including Sector 51 , Sector 52A, Sector 45 , Sector 46 and Sector 53 ...."
3 BHK Apartment ,Sector 77,"25,000",No Deposit,,"Sector 77 is located along Delhi - Jaipur Expressway in Gurgaon . The area is surrounded by neighbourhoods like Sector 76 , Sector 78 , Harbala Dhani Shikohpur and Hasanpur. Connectivity Sector 77 is..."
3 BHK Independent Floor ,Sector 49,"40,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
3 BHK Apartment ,Sector 53,"57,500",No Deposit,,
4 BHK Independent Floor ,Sector 49,"95,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
3 BHK Apartment ,Sector 85,"26,000",No Deposit,,"Sector 85 is a residential neighbourhood located close to Dwarka Expressway . It is surrounded by areas like Sectors 84, 86, 82, 83 and 81. Connectivity The area is well-linked to the rest of Gurgaon..."
2 BHK Apartment ,Sector 90,"26,000",No Deposit,,
2 BHK Independent Floor ,Sector 30,"41,000",No Deposit,,"Sector 30 is a residential neighbourhood in Gurgaon , along Delhi - Jaipur Expressway. The area is surrounded by neighbourhoods such as Sector 31 , Silokhera, Sector 29 , Moti Vihar and Sector 41 ...."
4 BHK Apartment ,Sector 37D,"40,000",No Deposit,,Sector 37D is a residential area that is well-connected to several areas of Gurgaon . This locality is popular with contemporary home buyers owing to its social infrastructure and amenities....
4 BHK Apartment ,Sector 85,"56,500",No Deposit,,"Sector 85 is a residential neighbourhood located close to Dwarka Expressway . It is surrounded by areas like Sectors 84, 86, 82, 83 and 81. Connectivity The area is well-linked to the rest of Gurgaon..."
4 BHK Villa ,PALAM VIHAR,"65,000",No Deposit,,
3 BHK Apartment ,Sector 86,"40,000",No Deposit,,
4 BHK Apartment ,Sector 60,1,No Deposit,,Sector 60 is one of Gurgaons most coveted residential areas and offers decent infrastructure and amenities to residents. The locality has attained popularity owing to good connectivity and rapid...
3 BHK Apartment ,Sector 2 Sohna,"35,000",No Deposit,,"Sohna is a residential town located at a distance of around 24 kilometers from Gurgaon . Its proximity to Gurgaon creates demand for affordable apartments in Sector 2 Sohna , Gurgaon . The highway..."
3 BHK Apartment ,Sector 92,"17,200",No Deposit,,"Sector 92 is a residential neighbourhood located close to Pataudi Road . The area is surrounded by sectors such as 91, 94, 95 and 86, Bhangrola and Hayatpur . Connectivity Sector 92 is well-connected..."
2 BHK Independent Floor ,PALAM VIHAR,"35,000",No Deposit,,
2 BHK Apartment ,Sector 104,"35,000",No Deposit,,
3 BHK Independent Floor ,PALAM VIHAR,"45,000",,,
2 BHK Independent Floor ,Sector 43,"36,000",No Deposit,,"Sector 43 is a residential neighbourhood located along DLF Golf Course Road . The area is surrounded by some of Gurgaons prominent neighbourhoods such as Sushant Lok Phase I , Sector 52 A, Sector 27..."
3 BHK Apartment ,Sector 108,"25,000",No Deposit,,
4 BHK Apartment ,Sector 81,"63,500",No Deposit,,"This locality in Gurgaon is situated 61 kilometres south-west of Delhi , and is in close proximity to Delhi - Ajmer Highway. It is surrounded by sectors 85, 81, 82, and 86. Prestigious companies such..."
3 BHK Apartment ,Sector 66,"70,000",No Deposit,,
4 BHK Independent Floor ,Sector 10A,"50,000",No Deposit,,
3 BHK Apartment ,Sector 110A,"45,000",No Deposit,,"Sector 110 -A of Gurgaon falls within the National Capital Region. Ganga Vihar, Palam Vihar, New Palam Vihar Phase 3 , Chandan Vihar, Sector 2 and Chauma village are the sectors bordering it...."
3 BHK Apartment ,Sector 54,1.25,No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
1 BHK Independent Floor ,Sector 46,"22,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
3 BHK Apartment ,Sector 102,"45,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
4 BHK Apartment ,Sector 82A,"72,000",,,Sector 82A is a noted residential zone in Gurgaon . The area has attained huge popularity owing to its proximity to several business and residential destinations in the city. The locality has...
2 BHK Independent Floor ,Sector 52,"45,000",No Deposit,,"Sector 52 is a neighbourhood in Gurgaon , located close to DLF Golf Course Road . The area is surrounded by neighbourhoods including Sector 51 , Sector 52A, Sector 45 , Sector 46 and Sector 53 ...."
2 BHK Independent Floor ,Sector 82,"25,000",No Deposit,,"Sector 82 , Gurgaon is situated 57 kilometres southwest of Delhi . The adjoining areas include Bahadurgarh , Sohna , and Faridabad . With Delhi Expressway being actively operational, and metro rail..."
2 BHK Apartment ,Sector 107,"30,000",No Deposit,,
4 BHK Independent Floor ,Sector 52,"45,000",No Deposit,,"Sector 52 is a neighbourhood in Gurgaon , located close to DLF Golf Course Road . The area is surrounded by neighbourhoods including Sector 51 , Sector 52A, Sector 45 , Sector 46 and Sector 53 ...."
2 BHK Apartment ,Sector 107,"22,000",No Deposit,,
1 BHK Apartment ,Sector 83,"25,500",,,"Sector 83 is a neighbourhood in the satellite town of Gurgaon , situated 44 kilometres southwest of Delhi . Located off NH 8 , this area lies in close proximity to Badshahpur , Manesar , and..."
3 BHK Apartment ,Sector 102,"38,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
1 RK Studio Apartment ,Sector 54,"19,000",No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
3 BHK Apartment ,Sector 37D,"32,000",No Deposit,,Sector 37D is a residential area that is well-connected to several areas of Gurgaon . This locality is popular with contemporary home buyers owing to its social infrastructure and amenities....
4 BHK Apartment ,Sector 47,1.2,No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
2 BHK Independent Floor ,sector 23a,"25,000",No Deposit,,
4 BHK Independent Floor ,Sector 102,"60,000",No Deposit,,Sector 102 is one of Gurgaons topmost localities and lies along Dwarka Expressway . The area offers good access to necessary civic and social amenities and infrastructures. Connectivity Dwarka...
3 BHK Apartment ,Sector 37C,"22,000",,,Sector 37C is a residential neighbourhood located close to Dwarka Expressway . The area encompasses several sub-localities such as Garauli Kalan and Kadipur Industrial Area . Sector 10 Chowk is...
1 BHK Apartment ,Sector 111,"22,000",No Deposit,,
3 BHK Apartment ,Sector 95A,"11,000",No Deposit,,
3 BHK Apartment ,Sector 49,"60,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
3 BHK Apartment ,Sector 1 Manesar,"16,000",No Deposit,,"Sector 1 Manesar is a prominent residential locality based in Gurgaon , an emerging commercial and residential hub. The localitys proximity to IT and ITES companies boosts the real estate in Sector 1..."
1 BHK Independent Floor ,Sushant Lok,"19,000",No Deposit,,"Sushant Lok Phase I is a residential area in Sector 43 , Gurgaon . It is located along NH 236 and NH8 . DLF Golf Course Road is located a short drive from here. Areas surrounding Sushant Lok include..."
2 BHK Apartment ,Sector 84,"10,500",No Deposit,,Sector 84 is one of Gurgaons top residential zones and offers good connectivity to most areas in the city and Delhi alike. The locality has developed rapidly over the last few years. Connectivity...
3 BHK Apartment ,Sector 23 Gurgaon,"28,000",No Deposit,,Sector 23 is one of the leading residential localities in Gurgaon . The locality lies in proximity to the suburban Old Delhi Road. This has boosted demand for apartments in Sector 23 Gurgaon . The...
3 BHK Apartment ,Sector 92,"25,000",No Deposit,,"Sector 92 is a residential neighbourhood located close to Pataudi Road . The area is surrounded by sectors such as 91, 94, 95 and 86, Bhangrola and Hayatpur . Connectivity Sector 92 is well-connected..."
2 BHK Apartment ,Sector 85,"37,000",No Deposit,,"Sector 85 is a residential neighbourhood located close to Dwarka Expressway . It is surrounded by areas like Sectors 84, 86, 82, 83 and 81. Connectivity The area is well-linked to the rest of Gurgaon..."
1 RK Studio Apartment ,Sector 54,"22,000",No Deposit,,"Sector 54 is a residential neighbourhood in Gurgaon . The area is surrounded by Sector 55 , Haiderpur, Sector 53 and Sector 42 . The DLF Golf Course is located close to the neighbourhood...."
1 BHK Independent Floor ,Sushant LOK I,"35,000",No Deposit,,"This is one of the most upscale locations of Gurgaon . Developed under the banner of Ansals, it cuts through three sectors - Sector 27 , 28, and 43. Connectivity Mehrauli- Gurgaon Road offers easy..."
1 RK Studio Apartment ,Sector 49,"15,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
2 BHK Independent Floor ,PALAM VIHAR,"35,000",No Deposit,,
3 BHK Apartment ,Sector 37D,"24,000",No Deposit,,Sector 37D is a residential area that is well-connected to several areas of Gurgaon . This locality is popular with contemporary home buyers owing to its social infrastructure and amenities....
2 BHK Independent Floor ,Sushant LOK I,"40,000",No Deposit,,"This is one of the most upscale locations of Gurgaon . Developed under the banner of Ansals, it cuts through three sectors - Sector 27 , 28, and 43. Connectivity Mehrauli- Gurgaon Road offers easy..."
2 BHK Independent Floor ,Sector 46,"22,000",No Deposit,,"Sector 46 is a residential neighbourhood located close to NH 8 . The area is surrounded by neighbourhoods such as Sector 51 , Sector 47 , Jharsa Village , Sector 45 and Saini Pura. Connectivity..."
3 BHK Independent Floor ,Sector 47,"35,000",No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
4 BHK Independent Floor ,Sector 49,"36,000",No Deposit,,Sector 49 is one of the emerging localities of Gurgaon . It is currently enjoying a high status in terms of being a coveted realty destination. The areas that lie in close proximity include Sector 48...
3 BHK Independent Floor ,Sector 52,"46,000",No Deposit,,"Sector 52 is a neighbourhood in Gurgaon , located close to DLF Golf Course Road . The area is surrounded by neighbourhoods including Sector 51 , Sector 52A, Sector 45 , Sector 46 and Sector 53 ...."
4 BHK Apartment ,Sector 59,"74,000",No Deposit,,
2 BHK Apartment ,Sector 36 Sohna,"20,000",No Deposit,,"Sector 36 Sohna is a well-developed locality in Gurgaon town of the National Capital Region, near suburb Sohna . The localities embracing the locality are Sector 2 Sohna , Sector 33 Sohna , Sector 34..."
1 RK Studio Apartment ,Sector 24,"18,000",No Deposit,,
2 BHK Apartment ,Sector 37D,"13,500",No Deposit,,Sector 37D is a residential area that is well-connected to several areas of Gurgaon . This locality is popular with contemporary home buyers owing to its social infrastructure and amenities....
1 RK Studio Apartment ,Sector 24,"15,000",No Deposit,,
3 BHK Independent Floor ,Sector 25,1,No Deposit,,
2 BHK Independent Floor ,Sector 47,"23,000",No Deposit,,Sector 47 Block A is a residential neighbourhood located close to Nirvana Central Road and Satpaul Mittal Marg. The area is located close to Gurgaon Baani Square. Connectivity NH 248 A is a short...
1 BHK Independent Floor ,Sector 13,"7,000",No Deposit,,
1 BHK Apartment ,Sector 56,"11,000",No Deposit,,Sector 56 is a residential neighbourhood in Gurgaon . It is flanked by Golf Course Extension Road towards the south and by Tau Devi Lal Biodiversity Park lies to its north. Several commercial...
3 BHK Apartment ,Sector 33,"38,000",No Deposit,,"Sector 33 is a residential neighbourhood of Gurgaon located close to Chaudhary Tau Devilal Stadium. It is located close to areas including Sector 10 A, Sector 1 , Islampur Village and Medicity and..."
